"Value Research Online"
"Date: 28-Jul-2015 14:48"
"Fund","Rating","1-Month Return","1-Month Rank","3-Month Return","3-Month Rank","1-Year Return","1-Year Rank","3-Year Return","3-Year Rank","5-Year Return","5-Year Rank","10-Year Return","10-Year Rank"
"ICICI Prudential Midcap Fund - Regular Plan","* * * ","4.72","23/114","9.43","33/114","30.31","74/112","35.47","20/52","16.01","32/48","16.8","14/20"
"ICICI Prudential Nifty ETF Fund","Unrated","0.04","75/148","2.49","84/145","8.4","90/143","-","-","-","-","-","-"
"ICICI Prudential Nifty Junior Index Fund","* * * ","3","19/61","7.87","21/61","24.88","21/56","26.73","11/28","11.51","17/26","-","-"
"ICICI Prudential Select Large Cap Fund - Regular Plan","* * * ","-0.61","130/148","1.29","132/145","10.39","70/143","20.58","22/75","11.18","19/64","-","-"
"ICICI Prudential SPIcE Fund","Unrated","-0.56","125/148","2.25","112/145","6.69","127/143","18.9","40/75","10.41","27/64","14.8","16/35"
"ICICI Prudential Tax Plan - Regular Plan","* * * * ","2.87","6/75","3.92","64/75","16.84","59/73","26.66","12/37","14.8","9/36","16.28","7/19"
"ICICI Prudential Technology Fund - Regular Plan","Unrated","3.14","2/10","7.72","2/10","16.71","3/10","33.49","1/5","20.56","1/5","17.37","1/5"
"ICICI Prudential Top 100 Fund - Regular Plan","* * * * ","-0.79","143/148","-0.3","145/145","7.03","122/143","20.52","23/75","12.41","6/64","16.1","10/35"
"ICICI Prudential Top 200 Fund - Regular Plan","* * * ","1.18","65/135","5.88","51/135","20.11","60/125","25.55","23/66","13.21","24/61","16.49","16/28"
"ICICI Prudential US Bluechip Equity Fund","Unrated","-1.11","-","-1.6","-","9.02","-","20.03","-","-","-","-","-"
"ICICI Prudential Value Discovery Fund - Regular Plan","* * * * ","0.5","110/114","5.01","104/114","25.39","84/112","33.26","30/52","19.53","16/48","21.27","2/20"
"IDBI Diversified Equity Fund - Regular Plan","Unrated","1.32","99/114","5.3","98/114","34.69","54/112","-","-","-","-","-","-"
